Unnamed: 0,User,Age,Country,Platform,Day,Month,Year,Hour,Likes,Retweets,Comment,Hashtags,worlds,value_worlds,Sentiment,Timestamp,Daily Social Media Time (hrs)
51,BitterHeart,63,Australia,Instagram,22,5,2018,14,15,7,Resentment building up over past betrayals.,#Resentment #Bitterness,168,170,Resentment,2018-05-22 14:45:00.000000 UTC,1.05
52,BlockedGoals,53,USA,Facebook,30,1,2017,16,20,10,Frustration mounts as obstacles block my path.,#Frustration #Obstacles,169,171,Frustration,2017-01-30 16:10:00.000000 UTC,6.9
53,BloggerX,61,USA,Instagram,17,1,2023,15,45,22,Just published a new blog post. Check it out!,#Blogging #NewPost,10,10,Positive,2023-01-17 15:15:00.000000 UTC,3.79
55,BookLover,59,Australia,Instagram,23,1,2023,19,30,15,Quiet evening with a good book.,#Reading #QuietTime,28,29,Positive,2023-01-23 19:45:00.000000 UTC,5.69
56,BookLover3,44,UK,Instagram,22,9,2011,19,45,22,Serenity found in the pages of a favorite book.,#Serenity #BookTime,126,128,Serenity,2011-09-22 19:30:00.000000 UTC,3.99
57,BookLoverAgain,60,Canada,Facebook,14,2,2023,19,50,25,Enjoying a quiet evening with a book and some tea.,#Enjoyment #BookTime,61,63,Enjoyment,2023-02-14 19:45:00.000000 UTC,0.91
58,BookRecommendationsHighSchool,17,UK,Facebook,4,10,2023,18,38,19,Sharing favorite book recommendations with classmates. Building a mini book club.,#BookClub #HighSchoolReads,707,711,Neutral,2023-10-04 18:20:00.000000 UTC,7.61
59,Bookworm,23,UK,Twitter,28,9,2019,19,40,20,"Lost in the pages of a captivating novel, transported to another world. ",#Immersion #CaptivatingNovel,415,419,Immersion,2019-09-28 19:45:00.000000 UTC,6.13
60,Bookworm,15,USA,Instagram,22,9,2018,16,80,40,Elation over discovering a rare book in a quaint bookstore.,#Elation #RareBookDiscovery,369,373,Elation,2018-09-22 16:30:00.000000 UTC,6.57
61,Bookworm,29,India,Twitter,21,1,2023,8,45,22,Sipping coffee and enjoying a good book.,#Reading #CoffeeTime,20,20,Positive,2023-01-21 08:40:00.000000 UTC,4.81
62,BookwormCaptivatingNovelEscape,33,Japan,Facebook,8,10,2021,20,70,35,"In the realm of literature, a captivating novel transports the reader to distant lands, weaving a tapestry of imagination and escape. ",#Imagination #LiteraryEscape,569,573,Imagination,2021-10-08 20:30:00.000000 UTC,3.74
63,BookwormJoy,27,USA,Instagram,1,3,2023,13,35,18,Excitement for a quiet evening with a good book.,#Excitement #BookTime,102,104,Excitement,2023-03-01 13:30:00.000000 UTC,7.99
64,BookwormX,56,UK,Instagram,30,1,2023,15,25,12,New book release from my favorite author!,#BookRelease #FavoriteAuthor,46,47,Positive,2023-01-30 15:45:00.000000 UTC,7.51
65,BoredMind,31,Canada,Twitter,28,9,2016,19,15,8," Boredom sets in, the day feels endlessly dull.     ",#Boredom #LackOfInterest,170,172,Boredom,2016-09-28 19:45:00.000000 UTC,5.15
66,BoxingFanChampionshipDefeat,27,UK,Facebook,18,9,2020,19,60,30,"Facing a defeat in the championship, the boxer reflects on the challenges, vowing to return stronger and more determined in the next bout. ",#Reflection #BoxingDefeat,553,557,Reflection,2020-09-18 19:30:00.000000 UTC,2.86
67,BraceletCraftsmanHighSchool,41,USA,Instagram,4,9,2023,15,37,19,Crafting intricate friendship bracelets for the whole squad. Friendship level: Expert weaver!,#FriendshipBracelets #HighSchoolCrafts,677,681,Joy,2023-09-04 15:15:00.000000 UTC,2.12
68,BreadLover,20,France,Instagram,10,6,2017,12,55,28,Contentment envelops as the aroma of freshly baked bread fills the air.,#Contentment #FreshBreadAroma,413,417,Contentment,2017-06-10 12:15:00.000000 UTC,2.07
69,BreezeWaltzer,54,UK,Facebook,14,9,2019,10,28,14," In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",#Ambivalence #AutumnWaltz,262,266,Ambivalence,2019-09-14 10:20:00.000000 UTC,6.51
70,BrokenThreads,16,UK,Facebook,3,9,2020,12,28,14," Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. ",#Frustrated #SlippingThreads,316,320,Frustrated,2020-09-03 12:15:00.000000 UTC,2.33
71,BrokenTrust,64,Germany,Twitter,10,9,2018,13,45,22,"Shattered by betrayal, trust crumbles like fragile glass.          ",#Betrayal #ShatteredTrust,425,429,Betrayal,2018-09-10 13:15:00.000000 UTC,5.02
72,BrokenTrust,53,Australia,Facebook,15,1,2022,12,20,10," Resentment festers, poisoning relationships.       ",#Resentment #BrokenTrust,181,183,Resentment,2022-01-15 12:00:00.000000 UTC,6.82
73,BrunchBuddy,23,UK,Instagram,22,1,2023,12,30,15,Sunday brunch with friends.,#Brunch #Friends,25,25,Positive,2023-01-22 12:00:00.000000 UTC,4.12
74,BurgerQuestHighSchool,13,UK,Twitter,31,8,2023,20,42,24,Embarking on a mission to find the best burger joint in town. Burger connoisseur: Reporting for duty!,#BurgerQuest #HighSchoolFoodie,673,677,Excitement,2023-08-31 20:15:00.000000 UTC,4.53
75,CafeteriaConflictHighSchool,55,Canada,Instagram,15,9,2023,14,41,21,Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch.,#CafeteriaDrama #HighSchoolTension,688,692,Hate,2023-09-15 14:15:00.000000 UTC,0.75
76,CalmSoul,49,India,Facebook,27,2,2023,9,30,15,Finding calmness amidst the chaos of daily life.,#Calmness #InnerPeace,95,97,Calmness,2023-02-27 09:30:00.000000 UTC,1.5
77,CanvasDreamer,50,USA,Instagram,5,1,2020,20,26,13," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",#Melancholy #BittersweetMemories,230,234,Melancholy,2020-01-05 20:00:00.000000 UTC,5.53
78,CanyonMarveler,53,USA,Instagram,15,6,2020,16,50,25,"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ",#Awe #EarthsGrandeur,496,500,Awe,2020-06-15 16:45:00.000000 UTC,7.25
79,CareerAchiever,16,UK,Facebook,15,4,2016,14,55,28,Pride in achieving a personal milestone in career progression.,#Pride #CareerMilestone,367,371,Pride,2016-04-15 14:50:00.000000 UTC,4.83
80,CareerMilestone,31,Canada,Facebook,22,1,2023,14,25,12,Celebrating a milestone at work! 🎉,#Career #Milestone,24,24,Positive,2023-01-22 14:30:00.000000 UTC,1.17
81,CarEnthusiastSenior,19,UK,Facebook,2,7,2023,18,45,22,"Attended a vintage car show, reminiscing about the classics that once ruled the roads. Nostalgia in every rev. #VintageCars #ClassicRides ",#RoadTripDownMemoryLane #SeniorCars,624,628,Joy,2023-07-02 18:30:00.000000 UTC,4.9
82,CarnivalDreamer,57,Australia,Facebook,22,8,2018,17,48,24," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",#Playful #CarnivalEscapade,268,272,Playful,2018-08-22 17:20:00.000000 UTC,6.05
83,CarnivalDreamer,45,Australia,Facebook,22,8,2018,17,48,24," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",#Playful #CarnivalEscapade,282,286,Playful,2018-08-22 17:20:00.000000 UTC,0.89
84,CarnivalDreamer,30,Australia,Facebook,22,8,2018,17,48,24," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",#Playful #CarnivalEscapade,296,300,Playful,2018-08-22 17:20:00.000000 UTC,5.71
85,CarnivalGoer,16,Japan,Facebook,15,12,2020,15,45,22,Joyful laughter resonates through a lively summer carnival.,#FestiveJoy #SummerCarnival,393,397,FestiveJoy,2020-12-15 15:45:00.000000 UTC,2.98
86,CartwheelMasterHighSchool,29,Canada,Twitter,5,9,2023,12,52,27,Attempting to beat the record for the most consecutive cartwheels. Cartwheel challenge: Underway!,#CartwheelChallenge #HighSchoolAthlete,678,682,Excitement,2023-09-05 12:30:00.000000 UTC,1.66
87,CathedralVisitor,29,Czech Republic,Facebook,18,8,2018,14,35,18,Awe-inspired by the grandeur of an ancient cathedral's intricate architecture.,#Awe #ArchitecturalGrandeur,390,394,Awe,2018-08-18 14:45:00.000000 UTC,6.74
88,CathedralVisitor,50,Czech Republic,Facebook,18,8,2018,14,35,18,Awe-struck by the grandeur of an ancient cathedral's intricate architecture.,#Awe #ArchitecturalGrandeur,410,414,Awe,2018-08-18 14:45:00.000000 UTC,6.31
89,CelebrationPlanner,46,Australia,Facebook,5,3,2023,15,60,30,Excitement builds while preparing for a surprise celebration.,#Excitement #SurpriseCelebration,352,356,Excitement,2023-03-05 15:00:00.000000 UTC,6.08
90,CharityAdmirer,59,USA,Twitter,24,2,2023,11,40,20,Admiring the dedication of volunteers at a local charity.,#Admiration #Volunteers,86,88,Admiration,2023-02-24 11:30:00.000000 UTC,5.71
91,CharityEventVolunteerHighSchool,37,UK,Instagram,13,10,2023,12,39,20,Volunteering at a local charity event to give back to the community. Contributing to social causes.,#CommunityService #HighSchoolVolunteer,716,720,Neutral,2023-10-13 12:30:00.000000 UTC,3.9
92,CharityFundraisingTriumphHighSchool,19,Canada,Twitter,5,4,2019,17,42,22,Successfully fundraising for a school charity initiative. The joy of giving back to the community!,#CommunityGiving #HighSchoolPhilanthropy,730,734,Happy,2019-04-05 17:30:00.000000 UTC,3.39
93,CharitySupporter,50,Canada,Instagram,18,7,2015,14,35,18,Compassion in action: supporting a local charity event.,#Compassion #CharityEvent,117,119,Compassion,2015-07-18 14:20:00.000000 UTC,5.19
94,CharityVolunteer,52,USA,Facebook,18,12,2015,14,35,18,Compassion in volunteering for a local charity.,#Compassion #VolunteerWork,157,159,Compassion,2015-12-18 14:20:00.000000 UTC,1
95,ChefAtHome,42,USA,Instagram,31,1,2023,19,40,20,Cooking a special dinner for loved ones.,#Cooking #SpecialDinner,49,50,Positive,2023-01-31 19:00:00.000000 UTC,5.52
96,ChefCook,53,Australia,Instagram,15,1,2023,19,25,12,Trying out a new recipe for dinner tonight.,#Cooking #Food,4,4,Neutral,2023-01-15 19:55:00.000000 UTC,7.02
97,ChemistryWizardHighSchool,38,UK,Instagram,10,8,2023,14,55,28,Spent hours perfecting a chemistry experiment. Mixing potions like a wizard!,#ChemistryWizard #HighSchoolScientist,652,656,Joy,2023-08-10 14:20:00.000000 UTC,7.62
98,ChildhoodJoy,40,Canada,Facebook,5,2,2021,9,50,25,Elation after a surprise reunion with a childhood friend.,#Elation #FriendshipReunion,163,165,Elation,2021-02-05 09:30:00.000000 UTC,4.05
99,ChildhoodMemories,35,Australia,Facebook,28,1,2017,21,40,20,Nostalgic memories flood in while revisiting childhood favorites.,#Nostalgia #ChildhoodFavorites,358,362,Nostalgia,2017-01-28 21:15:00.000000 UTC,1.41
100,ChipExplorer,14,Canada,Instagram,27,5,2023,21,45,22,"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",#TeenChef #CookingFail,588,592,Disgust,2023-05-27 21:15:00.000000 UTC,2.78
99,ChoirEnthusiast,18,USA,Instagram,20,6,2023,14,40,20,"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging ",#MusicHarmony #SeniorVoices,612,616,Joy,2023-06-20 14:20:00.000000 UTC,1.7
100,CityExplorer,14,UK,Instagram,18,10,2019,16,35,18,Surprise and delight at discovering a hidden gem in the city.,#Surprise #HiddenGem,363,367,Surprise,2019-10-18 16:45:00.000000 UTC,7.26
101,ClassroomBlunderHighSchool,46,USA,Twitter,9,9,2023,17,32,16,Accidentally walked into the wrong classroom on the first day. Classroom mix-up: Awkward start!,#FirstDayOops #HighSchoolEmbarrassment,682,686,Embarrassed,2023-09-09 17:30:00.000000 UTC,6.84
102,CloudCaretaker,29,Australia,Twitter,20,6,2022,10,36,18," Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",#Compassionate #ShowerOfEmpathy,254,258,Compassionate,2022-06-20 10:30:00.000000 UTC,7.48
103,CloudsOfBlessings,39,Germany,Facebook,10,12,2016,21,55,28,"Floating on clouds of gratitude, each raindrop a blessing, a shower of thankfulness. ",#Gratitude #ShowerOfThankfulness,486,490,Gratitude,2016-12-10 21:15:00.000000 UTC,7.55
104,CoastalExplorer,60,Australia,Twitter,28,2,2021,13,60,30,Soaring like a free spirit on the winds of a coastal cliff.,#Freedom #CoastalAdventure,395,399,Freedom,2021-02-28 13:00:00.000000 UTC,1.64
105,CodeEnthusiast,25,USA,Facebook,25,1,2023,13,60,30,Coding a new project with enthusiasm.,#Coding #Enthusiasm,33,34,Positive,2023-01-25 13:15:00.000000 UTC,2.87
106,CodeExplorerHighSchool,34,UK,Twitter,2,8,2023,14,50,,Exploring the world of coding. Debugging is an adventure on its own! #CodingJourney #HighSchoolCoder,#CodingAdventure #HighSchoolCoderLife,644,648,Excitement,2023-08-02 14:45:00.000000 UTC,7.45
107,CodingSuccessHighSchool,52,USA,Twitter,17,10,2023,12,48,24,Successfully completing a challenging coding project. Excitement for overcoming coding hurdles!,#CodingTriumph #HighSchoolTech,720,724,Happy,2023-10-17 12:30:00.000000 UTC,5.75
108,CoffeeLover,24,India,Twitter,15,4,2017,8,45,22,Gratitude for the simple joys found in a cup of morning coffee.,#Gratitude #MorningCoffee,347,351,Gratitude,2017-04-15 08:00:00.000000 UTC,7.31
109,CoffeeLoverWritersRetreat,17,France,Twitter,12,2,2023,19,45,22,"Engulfed in the aroma of freshly brewed coffee, the writer finds inspiration in every sip, embarking on a journey of creativity and prose. ",#CreativeInspiration #CoffeeJourney,577,581,Creative Inspiration,2023-02-12 19:45:00.000000 UTC,2.37
110,ColdEmbrace,28,Australia,Instagram,2,11,2020,19,20,10," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",#Yearning #DistantWarmth,300,304,Yearning,2020-11-02 19:30:00.000000 UTC,6.66
111,ColdplayHopeSeeker,21,UK,Instagram,28,11,2016,19,60,30,"Experiencing the magic of a Coldplay concert, where 'Fix You' becomes a beacon of hope in the night. ",#Hope #ColdplayMagic,520,524,Hope,2016-11-28 19:00:00.000000 UTC,7.68
112,CollegeRejectionHighSchool,61,UK,Facebook,25,9,2023,20,37,19,Facing rejection from a dream college. Disheartened but determined to explore other paths.,#CollegeDreams #HighSchoolJourney,698,702,Sad,2023-09-25 20:45:00.000000 UTC,2.37
113,ColorfulLaughter,55,Canada,Instagram,2,7,2019,17,80,40,"Surrounded by the colors of joy, a canvas painted with laughter and endless smiles. ",#Joy #EndlessSmiles,482,486,Joy,2019-07-02 17:00:00.000000 UTC,7.29
114,ColosseumAdventurer,45,Italy,Twitter,15,3,2018,17,50,25,"Captivated by the historical charm of the Colosseum, each stone echoing tales of gladiator valor. ",#Captivation #GladiatorTales,502,506,Captivation,2018-03-15 17:30:00.000000 UTC,6.92
115,ComedyFan,58,Canada,Facebook,13,2,2023,19,45,22,Laughter is the best medicine—enjoying a comedy show.,#Joy #ComedyShow,58,60,Joy,2023-02-13 19:30:00.000000 UTC,2.67
116,ComedyGeniusHighSchool,54,Canada,Instagram,1,9,2023,14,39,21,Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making!,#StandUpComedy #HighSchoolTalent,674,678,Joy,2023-09-01 14:45:00.000000 UTC,0.56
117,CometCreativity,22,France,Twitter,28,5,2020,16,35,18,"Like a comet of inspiration, streaking through the sky of creativity, leaving trails of brilliance. ",#Inspiration #BrilliantTrails,487,491,Inspiration,2020-05-28 16:00:00.000000 UTC,5.82
118,CommunityCleanupHighSchool,59,Canada,Twitter,3,10,2023,12,50,,Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness.,#EnvironmentalEfforts #HighSchoolCommunity,706,710,Neutral,2023-10-03 12:30:00.000000 UTC,3.09
119,CommunityHelper,41,UK,Instagram,10,9,2021,9,35,18,Feeling blessed for the supportive community in times of need.,#Blessed #SupportiveCommunity,354,358,Blessed,2021-09-10 09:45:00.000000 UTC,1.99
